2021-05-23 09:11:49 INFO  class:22 - Tarayici Acildi.
2021-05-23 09:11:57 INFO  class:26 - Site Acildi.
2021-05-23 09:11:57 INFO  class:28 - Tam Ekran Yapildi.
2021-05-23 09:11:58 INFO  class:25 - Cerez Bildirimi Kapandi.
2021-05-23 09:12:01 INFO  class:27 - Uye Girisi Sayfasina Gidildi.
2021-05-23 09:12:11 INFO  class:43 - Kullanici Girisi Yapildi.
2021-05-23 09:12:19 INFO  class:54 - Bilgisayar Kelimesi Arandi.
2021-05-23 09:12:26 INFO  class:58 - 2. Sayfa Acildi.
2021-05-23 09:12:31 INFO  class:71 - Rastgele Bir Urun Secildi.
2021-05-23 09:12:34 INFO  class:80 - Urun Sepete Eklendi.
2021-05-23 09:12:37 INFO  class:91 - Fiyat Karsilastirildi.
2021-05-23 09:12:42 INFO  class:96 - urun Sayisi Karsilastirildi.
2021-05-23 09:12:46 INFO  class:102 - Urunler Silindi.
2021-05-23 09:12:49 INFO  class:36 - Tarayici Kapatildi.
